Account ID,Account Name,Package,Segment,Active paying account,HQ type,Agent Category,Agent Name,Agent Active,Agent Created At,Agent Updated At
63cfe630ecbfb30039426da8,Maxwell Residences,pro,Mid-Market,true,,FINANCE,Security deposit extender,true,"Jul 2, 2026, 5:14:08 PM","Jul 2, 2026, 5:14:08 PM"
63cfe630ecbfb30039426da8,Maxwell Residences,pro,Mid-Market,true,,OPERATIONS,Risky reservation detector,false,"Jul 2, 2026, 5:13:27 PM","Jul 2, 2026, 7:27:44 PM"
63cfe630ecbfb30039426da8,Maxwell Residences,pro,Mid-Market,true,,OPERATIONS,Reservation handoff brief,false,"Jul 2, 2026, 5:13:07 PM","Jul 2, 2026, 7:26:12 PM"
63cfe630ecbfb30039426da8,Maxwell Residences,pro,Mid-Market,true,,OPERATIONS,Commitment keeper,true,"Jul 2, 2026, 5:11:42 PM","Jul 2, 2026, 5:11:42 PM"
63cfe630ecbfb30039426da8,Maxwell Residences,pro,Mid-Market,true,,OPERATIONS,Check-in readiness,false,"Jul 2, 2026, 5:11:22 PM","Jul 2, 2026, 7:29:38 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OWNER_RELATIONS,Owner payment details collector,true,"Jul 2, 2026, 11:19:08 AM","Jul 2, 2026, 11:19:08 AM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,FINANCE,Fee configuration detector,true,"Jul 1, 2026, 8:49:57 PM","Jul 1, 2026, 8:49:57 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Team access review,true,"Jul 1, 2026, 1:28:07 PM","Jul 1, 2026, 1:28:07 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Team access review,true,"Jul 1, 2026, 11:59:28 AM","Jul 1, 2026, 11:59:28 AM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,FINANCE,Tax Configuration Audit,true,"Jul 1, 2026, 11:59:22 AM","Jul 1, 2026, 11:59:22 AM"
65351c644892a1c2b05f9e34,AIR MGMT,pro,SME,true,,OPERATIONS,Weekly Operation Brief,true,"Jun 30, 2026, 9:57:02 PM","Jun 30, 2026, 9:57:02 PM"
65351c644892a1c2b05f9e34,AIR MGMT,pro,SME,true,,DISTRIBUTION,Airbnb quality detector,true,"Jun 30, 2026, 9:55:58 PM","Jun 30, 2026, 9:55:58 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Weekly Operation Brief,true,"Jun 30, 2026, 7:18:42 PM","Jun 30, 2026, 7:18:42 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Maintenance tracker,true,"Jun 30, 2026, 7:18:32 PM","Jun 30, 2026, 7:18:32 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,DISTRIBUTION,Airbnb quality detector,true,"Jun 30, 2026, 7:18:19 PM","Jun 30, 2026, 7:18:19 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Weekly Operation Brief,true,"Jun 30, 2026, 7:13:30 PM","Jun 30, 2026, 7:13:30 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Maintenance tracker,true,"Jun 30, 2026, 7:13:22 PM","Jun 30, 2026, 7:13:22 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,DISTRIBUTION,Airbnb quality detector,true,"Jun 30, 2026, 7:13:13 PM","Jun 30, 2026, 7:13:13 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Maintenance tracker,true,"Jun 30, 2026, 4:53:14 PM","Jun 30, 2026, 4:53:14 PM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,ACCOUNTING,Advance deposit checker,false,"Jun 30, 2026, 11:48:41 AM","Jun 30, 2026, 11:48:46 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,OPERATIONS,Reservation readiness surfacer,true,"Jun 29, 2026, 12:51:23 PM","Jun 29, 2026, 12:51:23 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jun 26, 2026, 6:53:21 PM","Jun 26, 2026, 6:53:21 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Stay status reconciler,true,"Jun 26, 2026, 6:53:04 PM","Jun 26, 2026, 6:53:04 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Reservation readiness surfacer,true,"Jun 26, 2026, 6:52:55 PM","Jun 26, 2026, 6:52:55 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Reservation handoff brief,true,"Jun 26, 2026, 6:52:43 PM","Jun 26, 2026, 6:52:43 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Reservation duplicate detector,true,"Jun 26, 2026, 6:52:36 PM","Jun 26, 2026, 6:52:36 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Translation gap filler,true,"Jun 26, 2026, 6:52:29 PM","Jun 26, 2026, 6:52:29 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,ACCOUNTING,Monthly cancelled reservations,true,"Jun 26, 2026, 6:52:22 PM","Jun 26, 2026, 6:52:22 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Daily task coverage board,true,"Jun 26, 2026, 6:52:17 PM","Jun 26, 2026, 6:52:17 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Commitment keeper,true,"Jun 26, 2026, 6:52:12 PM","Jun 26, 2026, 6:52:12 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,FINANCE,Checkout balance collection,true,"Jun 26, 2026, 6:51:57 PM","Jun 26, 2026, 6:51:57 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Check-in readiness,true,"Jun 26, 2026, 6:51:50 PM","Jun 26, 2026, 6:51:50 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,OPERATIONS,Amenity gap detector,true,"Jun 26, 2026, 6:51:37 PM","Jun 26, 2026, 6:51:37 PM"
692087d60cb25a3efd780f59,CJR Stays,pro,SMB,true,,ACCOUNTING,Advance deposit checker,true,"Jun 26, 2026, 6:51:32 PM","Jun 26, 2026, 6:51:32 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jun 25, 2026, 3:49:50 PM","Jun 25, 2026, 3:49:50 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Check-in readiness,false,"Jun 25, 2026, 3:49:22 PM","Jul 3, 2026, 6:43:12 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jun 25, 2026, 2:26:57 PM","Jun 25, 2026, 2:26:57 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,ACCOUNTING,Monthly cancelled reservations,true,"Jun 25, 2026, 2:26:47 PM","Jun 25, 2026, 2:26:47 PM"
67d362f57468c0a23a0281f5,Stay Portland,pro,SME,true,,OPERATIONS,Amenity gap detector,true,"Jun 24, 2026, 8:47:43 PM","Jun 24, 2026, 8:47:43 PM"
67d362f57468c0a23a0281f5,Stay Portland,pro,SME,true,,OPERATIONS,Commitment keeper,true,"Jun 24, 2026, 8:47:12 PM","Jun 24, 2026, 8:47:12 PM"
67d362f57468c0a23a0281f5,Stay Portland,pro,SME,true,,COMMUNICATIONS,Review response drafter,true,"Jun 24, 2026, 8:45:50 PM","Jun 24, 2026, 8:45:50 PM"
67d362f57468c0a23a0281f5,Stay Portland,pro,SME,true,,COMMUNICATIONS,Negative review challenger,true,"Jun 24, 2026, 8:45:02 PM","Jun 24, 2026, 8:45:02 PM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,COMMUNICATIONS,Negative review challenger,false,"Jun 24, 2026, 6:15:58 PM","Jul 6, 2026, 5:54:55 AM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,OPERATIONS,Reservation handoff brief,true,"Jun 24, 2026, 3:27:08 PM","Jun 24, 2026, 3:27:08 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jun 24, 2026, 3:26:47 PM","Jun 24, 2026, 3:26:47 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jun 24, 2026, 3:26:29 PM","Jun 24, 2026, 3:26:29 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,COMMUNICATIONS,Review response drafter,true,"Jun 24, 2026, 3:25:21 PM","Jun 24, 2026, 3:25:21 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,COMMUNICATIONS,Negative review challenger,true,"Jun 24, 2026, 3:25:08 PM","Jun 24, 2026, 3:25:08 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,OPERATIONS,Translation gap filler,true,"Jun 24, 2026, 3:24:15 PM","Jun 24, 2026, 3:24:15 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,OPERATIONS,Commitment keeper,true,"Jun 24, 2026, 3:24:02 PM","Jun 24, 2026, 3:24:02 PM"
680f840727962971e7ee00c0,Wyndale Living,pro,SMB,true,,OPERATIONS,Amenity gap detector,true,"Jun 24, 2026, 3:22:52 PM","Jun 24, 2026, 3:22:52 PM"
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,pro,SME,true,,OPERATIONS,Reservation readiness surfacer,true,"Jun 24, 2026, 2:26:46 PM","Jun 24, 2026, 2:26:46 PM"
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,pro,SME,true,,OPERATIONS,Review to task dispatcher,true,"Jun 24, 2026, 12:57:16 PM","Jun 24, 2026, 12:57:16 PM"
654656eac66d810b8ce078ac,"Martinek Management, Inc.",pro,Mid-Market,true,,OPERATIONS,Weekly Operation Brief,true,"Jun 24, 2026, 11:34:28 AM","Jun 24, 2026, 11:34:28 AM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Reservation readiness surfacer,true,"Jun 24, 2026, 8:57:47 AM","Jun 24, 2026, 8:57:47 AM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Review to task dispatcher,true,"Jun 23, 2026, 7:54:24 PM","Jun 23, 2026, 7:54:24 PM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,OPERATIONS,Daily task coverage board,true,"Jun 23, 2026, 4:59:21 PM","Jun 23, 2026, 4:59:21 PM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,OPERATIONS,Reservation handoff brief,true,"Jun 23, 2026, 3:40:56 PM","Jun 23, 2026, 3:40:56 PM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,OPERATIONS,Translation gap filler,true,"Jun 23, 2026, 3:39:12 PM","Jun 23, 2026, 3:39:12 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,FINANCE,Unpaid reservation tracker,true,"Jun 23, 2026, 3:27:26 PM","Jun 23, 2026, 3:27:26 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,COMMUNICATIONS,Saved replies optimizer,true,"Jun 23, 2026, 3:27:08 PM","Jun 23, 2026, 3:27:08 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jun 23, 2026, 3:26:56 PM","Jun 23, 2026, 3:26:56 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,OPERATIONS,Review to task dispatcher,true,"Jun 23, 2026, 3:26:48 PM","Jun 23, 2026, 3:26:48 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,COMMUNICATIONS,Review response drafter,true,"Jun 23, 2026, 3:26:25 PM","Jun 23, 2026, 3:26:25 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,COMMUNICATIONS,Negative review challenger,true,"Jun 23, 2026, 3:26:12 PM","Jun 23, 2026, 3:26:12 PM"
5f75b1fbc3e3190028c14764,Richmond Property Group Ltd,pro,SMB,true,,OPERATIONS,Translation gap filler,true,"Jun 23, 2026, 3:26:04 PM","Jun 23, 2026, 3:26:04 PM"
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,pro,SME,true,,OPERATIONS,Commitment keeper,true,"Jun 23, 2026, 11:09:16 AM","Jun 23, 2026, 11:09:16 AM"
5d6d5ce1229c8c0020c217ae,Horseshoe Bay Living,pro,SME,true,,OPERATIONS,Amenity gap detector,true,"Jun 23, 2026, 11:07:36 AM","Jun 23, 2026, 11:07:36 AM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Daily task coverage board,true,"Jun 23, 2026, 8:32:19 AM","Jun 23, 2026, 8:32:19 AM"
69f45411a36ffdd106868926,5starbalivilla,pro,Mid-Market,true,,OPERATIONS,Calendar conflict detector,true,"Jun 23, 2026, 5:56:08 AM","Jun 23, 2026, 5:56:08 AM"
69f45411a36ffdd106868926,5starbalivilla,pro,Mid-Market,true,,OPERATIONS,Reservation duplicate detector,true,"Jun 23, 2026, 5:50:53 AM","Jun 23, 2026, 5:50:53 AM"
69f45411a36ffdd106868926,5starbalivilla,pro,Mid-Market,true,,OPERATIONS,Translation gap filler,true,"Jun 23, 2026, 5:50:41 AM","Jun 23, 2026, 5:50:41 AM"
69f45411a36ffdd106868926,5starbalivilla,pro,Mid-Market,true,,OPERATIONS,Commitment keeper,true,"Jun 23, 2026, 5:49:49 AM","Jun 23, 2026, 5:49:49 AM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Reservation handoff brief,true,"Jun 22, 2026, 6:59:11 PM","Jun 22, 2026, 6:59:11 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Amenity gap detector,true,"Jun 22, 2026, 6:55:50 PM","Jun 22, 2026, 6:55:50 PM"
65351c644892a1c2b05f9e34,AIR MGMT,pro,SME,true,,OPERATIONS,Stay status reconciler,true,"Jun 22, 2026, 3:18:20 PM","Jun 22, 2026, 3:18:20 PM"
65351c644892a1c2b05f9e34,AIR MGMT,pro,SME,true,,OPERATIONS,Commitment keeper,true,"Jun 22, 2026, 3:17:36 PM","Jun 22, 2026, 3:17:36 PM"
65351c644892a1c2b05f9e34,AIR MGMT,pro,SME,true,,OPERATIONS,Amenity gap detector,true,"Jun 22, 2026, 3:17:29 PM","Jun 22, 2026, 3:17:29 PM"
69f45411a36ffdd106868926,5starbalivilla,pro,Mid-Market,true,,COMMUNICATIONS,Review response drafter,true,"Jun 22, 2026, 9:05:33 AM","Jun 22, 2026, 9:05:33 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,FINANCE,Unpaid reservation tracker,true,"Jun 22, 2026, 8:56:03 AM","Jun 22, 2026, 8:56:03 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,OPERATIONS,Translation gap filler,true,"Jun 22, 2026, 8:55:07 AM","Jun 22, 2026, 8:55:07 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,OPERATIONS,Commitment keeper,true,"Jun 22, 2026, 8:54:48 AM","Jun 22, 2026, 8:54:48 AM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Stay status reconciler,true,"Jun 21, 2026, 10:37:42 PM","Jun 21, 2026, 10:37:42 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Reservation handoff brief,true,"Jun 21, 2026, 10:37:22 PM","Jun 21, 2026, 10:37:22 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Reservation duplicate detector,true,"Jun 21, 2026, 10:37:07 PM","Jun 21, 2026, 10:37:07 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Translation gap filler,true,"Jun 21, 2026, 10:36:55 PM","Jun 21, 2026, 10:36:55 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Commitment keeper,true,"Jun 21, 2026, 10:36:39 PM","Jun 21, 2026, 10:36:39 PM"
62b337033513aa00347a2410,Jeff Nisius,pro,Mid-Market,true,,OPERATIONS,Amenity gap detector,true,"Jun 21, 2026, 10:36:17 PM","Jun 21, 2026, 10:36:17 PM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,OPERATIONS,Translation gap filler,true,"Jun 21, 2026, 6:43:46 PM","Jun 21, 2026, 6:43:46 PM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,OPERATIONS,Reservation handoff brief,true,"Jun 21, 2026, 6:43:33 PM","Jun 21, 2026, 6:43:33 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Commitment keeper,true,"Jun 19, 2026, 7:25:58 AM","Jun 19, 2026, 7:25:58 AM"
692739cf51ad620fe8272e74,Fripp Island Golf & Beach Resort ,pro,SME,true,,FINANCE,Tax Configuration Audit,true,"Jun 18, 2026, 2:52:41 PM","Jun 18, 2026, 2:52:41 PM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,COMMUNICATIONS,Review response drafter,true,"Jun 18, 2026, 7:41:25 AM","Jun 18, 2026, 7:41:25 AM"
693592c67e6de65e769be230,Weston Holidays,pro,SMB,true,,OPERATIONS,Calendar conflict detector,true,"Jun 18, 2026, 7:41:06 AM","Jun 18, 2026, 7:41:06 AM"
64ac4ed558fd69003fb7e3a4,GueStay Properties,pro,SMB,true,hq_child,OPERATIONS,Calendar conflict detector,false,"Jun 16, 2026, 7:56:26 PM","Jun 16, 2026, 7:56:34 PM"
6601f8d2c9d2b0a68e714a68,"Navigate Stays, Inc. ",pro,SME,true,,COMMUNICATIONS,Review response drafter,true,"Jun 16, 2026, 4:16:23 PM","Jun 16, 2026, 4:16:23 PM"
68d6d384455d7fda436118ca,Scenic Stays,enterprise,Enterprise,true,,OPERATIONS,Risky reservation detector,true,"Jun 16, 2026, 2:46:37 PM","Jul 7, 2026, 4:46:15 PM"
68d6d384455d7fda436118ca,Scenic Stays,enterprise,Enterprise,true,,OPERATIONS,Inquiry expiry manager,false,"Jun 16, 2026, 2:45:59 PM","Jun 28, 2026, 8:40:19 AM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,OPERATIONS,Risky reservation detector,true,"Jun 16, 2026, 2:11:14 PM","Jun 16, 2026, 2:11:14 PM"
5db0a5a602bcef001fed7da1,GreatStay,pro,Mid-Market,true,,OPERATIONS,Review to task dispatcher,true,"Jun 16, 2026, 8:34:50 AM","Jun 16, 2026, 8:34:50 AM"
5db0a5a602bcef001fed7da1,GreatStay,pro,Mid-Market,true,,COMMUNICATIONS,Review response drafter,true,"Jun 16, 2026, 8:34:33 AM","Jun 16, 2026, 8:34:33 AM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,OPERATIONS,Review to task dispatcher,true,"Jun 16, 2026, 7:42:55 AM","Jun 16, 2026, 7:42:55 AM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,COMMUNICATIONS,Review response drafter,true,"Jun 16, 2026, 7:32:33 AM","Jun 16, 2026, 7:32:33 AM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,COMMUNICATIONS,Negative review challenger,false,"Jun 16, 2026, 7:30:44 AM","Jun 21, 2026, 6:44:15 PM"
5db6c592bba9f4001f7d610f,EASY BNB GmbH,pro,SME,true,,OPERATIONS,Calendar conflict detector,true,"Jun 16, 2026, 7:30:03 AM","Jun 16, 2026, 7:30:03 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,OPERATIONS,Inquiry expiry manager,true,"Jun 16, 2026, 7:25:25 AM","Jun 16, 2026, 7:25:25 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,OPERATIONS,Risky reservation detector,true,"Jun 16, 2026, 7:22:32 AM","Jun 16, 2026, 7:22:32 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,COMMUNICATIONS,Review response drafter,true,"Jun 16, 2026, 7:22:04 AM","Jun 16, 2026, 7:22:04 AM"
6862e08eb12c774daba2501a,LS Living Solutions GmbH,pro,SMB,true,,COMMUNICATIONS,Negative review challenger,true,"Jun 16, 2026, 7:21:32 AM","Jun 16, 2026, 7:21:32 AM"
